Dataset,Model,TR TIME,TR CPU%,TR Energy (J),Accuracy,Precision,Recall,F1 Score,MCC,TE TIME,TE CPU%,TE Energy (J),XAI,XAI TR TIME,XAI TR CPU%,XAI TR Energy (J),XAI TE TIME,XAI TE CPU%,XAI TE Energy (J)
UNAC,VC,0.0115924943238496,67.22819010416666,3.7054871957294977,0.9572649572649572,0.9611406514632322,0.9572649572649572,0.958258016287706,0.8727700557651912,0.0148191098123788,67.22819010416659,4.736859913651782,Permutation Importance,1.2533126827329395,67.22819010416956,400.61560250737557,1.0759008787572384,67.22819010416349,343.90673989004944
UNAC,VC,0.0115924943238496,67.22819010416666,3.7054871957294977,0.9572649572649572,0.9611406514632322,0.9572649572649572,0.958258016287706,0.8727700557651912,0.0148191098123788,67.22819010416659,4.736859913651782,SHAP,6.147420549765229,66.92799978821627,1962.9888929220876,2.5839778119698167,67.08984375,825.5680282224773
UNAC,VC,0.0115924943238496,67.22819010416666,3.7054871957294977,0.9572649572649572,0.9611406514632322,0.9572649572649572,0.958258016287706,0.8727700557651912,0.0148191098123788,67.22819010416659,4.736859913651782,LIME (ALL),19.987095438875254,67.77291675901095,6400.615614780433,8.682184394448996,68.50373881486027,2787.2563731502214
UNAC,BC,0.028114884160459,68.670654296875,9.030869261913079,0.9658119658119658,0.97085020242915,0.9658119658119658,0.966100968064319,0.8933830515000064,0.0032093059271574,68.670654296875,1.0308711244986344,Permutation Importance,0.6345983007922769,68.670654296875,203.84129116730742,0.5330475037917495,68.670654296875,171.22184426079508
UNAC,BC,0.028114884160459,68.670654296875,9.030869261913079,0.9658119658119658,0.97085020242915,0.9658119658119658,0.966100968064319,0.8933830515000064,0.0032093059271574,68.670654296875,1.0308711244986344,SHAP,5.138737089000642,68.55186292018507,1649.966251182058,2.2428885651752357,68.3707821945672,719.7142141576943
UNAC,BC,0.028114884160459,68.670654296875,9.030869261913079,0.9658119658119658,0.97085020242915,0.9658119658119658,0.966100968064319,0.8933830515000064,0.0032093059271574,68.670654296875,1.0308711244986344,LIME (ALL),12.953205085359514,68.34000807415637,4156.084369388451,5.486630134284496,68.6776489874672,1762.4192161509513
UNAC,ABC,0.0053644999861717,68.71541341145834,1.7234086638640813,0.9743589743589745,0.974535201339325,0.9743589743589745,0.974174019282218,0.9160703715200618,0.0014999713748693,68.71541341145834,0.48188343175719967,Permutation Importance,0.3332207696512341,68.71541341145785,107.05108824246953,0.3269067658111453,68.6143897045619,104.98674698425627
UNAC,ABC,0.0053644999861717,68.71541341145834,1.7234086638640813,0.9743589743589745,0.974535201339325,0.9743589743589745,0.974174019282218,0.9160703715200618,0.0014999713748693,68.71541341145834,0.48188343175719967,SHAP,4.309417466633022,68.389892578125,1382.926377472291,1.8944659801200032,68.19882533569738,607.5558124699169
UNAC,ABC,0.0053644999861717,68.71541341145834,1.7234086638640813,0.9743589743589745,0.974535201339325,0.9743589743589745,0.974174019282218,0.9160703715200618,0.0014999713748693,68.71541341145834,0.48188343175719967,LIME (ALL),12.050314373336732,68.30792391313913,3865.968303064294,5.34145023394376,68.65764612414286,1715.668302896412
UNAC,DNN1v0,6.475228309631348,68.45127249896376,2078.3842859115575,0.0,0.0,0.0,0.0,-0.1940025468255451,0.0887806434184312,68.0887858072923,28.461361406588505,Permutation Importance,11.470907141454518,67.88662338274321,3674.8311456079996,11.266990867443385,67.22365727019259,3601.386014784787
